,Load (kWh),Grid supply (kWh),Spot Price (Euro/kWh),Rain Power (kWh),Battery (kWh),Battery2 (kWh),Battery3 (kWh),Battery4 (kWh),Battery5 (kWh),Battery6 (kWh)
2025-02-25 00:00:00,120.536338,1320.536338,0.05379,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-25 01:00:00,115.4382319,116.63823189999994,0.048979999999999996,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-25 02:00:00,153.9188257,155.11882569999995,0.02745,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-25 03:00:00,161.3689145,162.56891449999992,0.024480000000000002,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-25 04:00:00,118.6716216,119.87162159999993,0.02401,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-25 05:00:00,154.6549184,3755.8549184000003,0.02123,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-25 06:00:00,1976.277527,1981.0775269999997,0.02262,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-25 07:00:00,1798.348018,1803.1480179999996,0.02504,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-25 08:00:00,1900.288426,1905.0884259999998,0.02624,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-25 09:00:00,1795.951007,1800.7510069999996,0.03221,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-25 10:00:00,1703.363943,1708.1639429999998,0.04771,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-25 11:00:00,1995.295553,2000.0955529999997,0.05251,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-25 12:00:00,1803.771928,1808.5719279999996,0.05657,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-25 13:00:00,1699.404583,1703.6471029999998,0.05982,0.55748,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-25 14:00:00,1848.558189,1067.8098571134685,0.062060000000000004,-0.0,200.0,614.4516681134686,800.0,800.0,800.0,800.0
2025-02-25 15:00:00,796.7243737,-0.0,0.06252,-0.0,200.0,200.0,413.7128427453553,800.0,800.0,800.0
2025-02-25 16:00:00,901.355117,-0.0,0.06319,-0.0,200.0,200.0,200.0,200.0,709.1440129026101,800.0
2025-02-25 17:00:00,800.6745369,-0.0,0.06498999999999999,-0.0,200.0,200.0,200.0,200.0,200.0,506.1603319897073
2025-02-25 18:00:00,98.88935394,-0.0,0.06358,-0.0,200.0,200.0,200.0,200.0,200.0,405.7648177177177
2025-02-25 19:00:00,204.3590529,-0.0,0.0631,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-25 20:00:00,96.42291012,97.62291011999993,0.06215,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-25 21:00:00,153.8589924,155.05899239999994,0.05827,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-25 22:00:00,118.1095241,119.30952409999993,0.05258,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-25 23:00:00,148.2178053,149.41780529999994,0.04403,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-26 00:00:00,120.536338,121.73633799999993,0.038,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-26 01:00:00,115.4382319,116.63823189999994,0.03356,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-26 02:00:00,153.9188257,3755.1188257000003,0.03203,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 03:00:00,161.3689145,166.16891449999972,0.03229,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 04:00:00,118.6716216,123.47162159999972,0.0367,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 05:00:00,154.6549184,159.45491839999974,0.04172,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 06:00:00,1976.277527,1981.0775269999997,0.04918,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 07:00:00,1798.348018,1803.1480179999996,0.06204,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 08:00:00,1900.288426,1905.0884259999998,0.06567,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 09:00:00,1795.951007,1800.7510069999996,0.0668,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 10:00:00,1703.363943,1708.1639429999998,0.07108,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 11:00:00,1995.295553,2000.0955529999997,0.07354000000000001,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 12:00:00,1803.771928,1808.5719279999996,0.07816,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 13:00:00,1699.404583,1704.2045829999997,0.07887000000000001,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-26 14:00:00,1848.558189,760.7292040995978,0.07923999999999999,-0.0,200.0,307.3710150995981,800.0,800.0,800.0,800.0
2025-02-26 15:00:00,796.7243737,-0.0,0.07995999999999999,-0.0,200.0,200.0,200.0,706.9392703844987,800.0,800.0
2025-02-26 16:00:00,901.355117,-0.0,0.08145999999999999,-0.0,200.0,200.0,200.0,200.0,402.6772141141143,800.0
2025-02-26 17:00:00,800.6745369,-0.0,0.08092,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-26 18:00:00,98.88935394,100.08935393999994,0.07495,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-26 19:00:00,204.3590529,205.55905289999993,0.06677,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-26 20:00:00,96.42291012,97.62291011999993,0.06492,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-26 21:00:00,153.8589924,155.05899239999994,0.06443,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-26 22:00:00,118.1095241,119.30952409999993,0.06261,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-26 23:00:00,148.2178053,147.18788529999995,0.05916,2.22992,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-27 00:00:00,120.536338,388.3454961779777,0.058,5.01732,200.0,200.0,200.0,200.0,200.0,471.62647817797773
2025-02-27 01:00:00,115.4382319,-0.0,0.05839,0.55748,200.0,200.0,200.0,200.0,200.0,355.2740997997998
2025-02-27 02:00:00,153.9188257,-0.0,0.05841,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-27 03:00:00,161.3689145,162.56891449999992,0.05584,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2025-02-27 04:00:00,118.6716216,3719.8716216000003,0.05453,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-27 05:00:00,154.6549184,159.45491839999974,0.05841,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-27 06:00:00,1976.277527,1981.0775269999997,0.0627,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-27 07:00:00,1798.348018,1803.1480179999996,0.06481,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2025-02-27 08:00:00,1900.288426,1905.0884259999998,0.06559999999999999,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
