,Load (kWh),Grid supply (kWh),Spot Price (Euro/kWh),Battery (kWh),Battery2 (kWh),Battery3 (kWh),Battery4 (kWh),Battery5 (kWh),Battery6 (kWh)
2024-01-01 00:00:00,1504.6,2704.6,0.05379,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 01:00:00,1398.6,1399.8000000000002,0.048979999999999996,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 02:00:00,1496.2,1497.4000000000003,0.02745,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 03:00:00,1602.9,1604.1000000000004,0.024480000000000002,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 04:00:00,1798.9,1800.1000000000004,0.02401,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 05:00:00,1996.8,5000.0,0.02123,201.99999999999983,800.0,800.0,800.0,800.0,800.0
2024-01-01 06:00:00,2984.8,3587.0020000000013,0.02262,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 07:00:00,2800.3,2805.1000000000013,0.02504,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 08:00:00,2904.6,2909.4000000000005,0.02624,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 09:00:00,2802.4,2807.2000000000007,0.03221,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 10:00:00,2703.2,2708.000000000001,0.04771,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 11:00:00,3003.5,3008.300000000001,0.05251,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 12:00:00,2796.1,2800.9000000000005,0.05657,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 13:00:00,2703.0,2707.800000000001,0.05982,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 14:00:00,2847.3,2852.1000000000013,0.062060000000000004,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 15:00:00,2800.3,2805.1000000000013,0.06252,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 16:00:00,2899.6,2904.4000000000005,0.06319,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-01 17:00:00,2395.2,-0.0,0.06498999999999999,200.0,200.0,200.0,200.0,800.0000000000005,800.0
2024-01-01 18:00:00,2202.0,1004.3999999999996,0.06358,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 19:00:00,2195.3,2196.499999999999,0.0631,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 20:00:00,1699.8,1701.0000000000002,0.06215,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 21:00:00,1797.7,1798.9000000000003,0.05827,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 22:00:00,1801.5,1802.7000000000003,0.05258,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 23:00:00,2004.5,2005.7000000000003,0.04403,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 00:00:00,117.7,118.89999999999993,0.038,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 01:00:00,116.8,117.99999999999993,0.03356,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 02:00:00,145.8,3747.0,0.03203,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 03:00:00,155.3,160.09999999999974,0.03229,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 04:00:00,120.3,125.09999999999972,0.0367,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 05:00:00,152.0,156.79999999999973,0.04172,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 06:00:00,2981.6,2986.4000000000005,0.04918,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 07:00:00,2798.0,2802.800000000001,0.06204,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 08:00:00,2899.4,2904.2000000000007,0.06567,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 09:00:00,2802.2,2807.000000000001,0.0668,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 10:00:00,2702.6,2707.4000000000005,0.07108,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 11:00:00,2996.3,3001.1000000000013,0.07354000000000001,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 12:00:00,2795.9,2800.7000000000007,0.07816,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 13:00:00,2696.2,2701.000000000001,0.07887000000000001,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 14:00:00,2854.7,2859.500000000001,0.07923999999999999,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-02 15:00:00,1796.7,1514.9178222266305,0.07995999999999999,513.4178222266308,800.0,800.0,800.0,800.0,800.0
2024-01-02 16:00:00,1904.5,-0.0,0.08145999999999999,200.0,200.0,200.0,404.40440440440443,800.0,800.0
2024-01-02 17:00:00,1401.8,-0.0,0.08092,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 18:00:00,1196.2,1197.4000000000003,0.07495,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 19:00:00,1199.2,1200.4000000000003,0.06677,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 20:00:00,1499.9,1501.1000000000004,0.06492,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 21:00:00,1600.9,1602.1000000000004,0.06443,200.0,200.0,200.0,200.0,200.0,200.0
